City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
391,Iskateley,RU,67.6803,53.1512,42.51,76,100,15.68
392,Brawley,US,32.9787,-115.5303,102.45,20,0,16.11
393,Ostersund,SE,63.1792,14.6357,41.45,87,20,5.75
394,Morondava,MG,-20.2833,44.2833,64.02,70,0,10.51
395,Flin Flon,CA,54.7682,-101.865,63.32,49,77,4.18
396,Kingston Upon Hull,GB,53.7446,-0.3353,57.11,35,8,3.44
397,Te Anau,NZ,-45.4167,167.7167,43.63,75,38,1.19
398,Kamiiso,JP,41.8167,140.65,71.98,64,40,13.8
399,Gornopravdinsk,RU,60.05,69.9,59.97,84,89,11.12
400,Laguna,US,38.421,-121.4238,102.29,12,0,9.22
401,South Lake Tahoe,US,38.9332,-119.9844,75.15,26,0,1.01
402,Ellisras,ZA,-23.6649,27.7443,53.1,87,0,8.05
403,Vao,NC,-22.6667,167.4833,70.47,57,98,10.33
404,Yagodnoye,RU,62.55,149.6667,57.54,68,97,3.42
405,Selizharovo,RU,56.8519,33.4487,50.88,88,84,8.46
406,Strezhevoy,RU,60.7333,77.5889,73.6,56,88,17.87
407,Whitianga,NZ,-36.8333,175.7,56.21,65,65,8.57
408,Kavaratti,IN,10.5669,72.642,82.62,76,100,19.73
409,Vila Velha,BR,-20.3297,-40.2925,69.94,92,20,2.3
410,Halmstad,SE,56.6745,12.8568,59.11,92,40,4.61
411,Port Moresby,PG,-9.4431,147.1797,85.42,66,40,11.5
412,Daru,PG,-9.0763,143.2092,78.24,88,100,16.13
413,Ancud,CL,-41.8697,-73.8203,38.23,76,100,9.24
414,Rabaul,PG,-4.1967,152.1721,85.14,65,100,7.96
415,Yumen,CN,40.2833,97.2,81.79,18,0,9.01
416,Samarai,PG,-10.6167,150.6667,80.98,79,97,12.97
417,Maniitsoq,GL,65.4167,-52.9,35.22,84,71,8.37
418,Puerto Narino,CO,-3.7703,-70.3831,71.31,98,90,2.15
419,Ahipara,NZ,-35.1667,173.1667,56.17,58,100,0.98
420,Takoradi,GH,4.8845,-1.7554,74.03,93,100,5.35
421,San Patricio,US,28.017,-97.5169,85.86,72,35,13.35
422,Dzhebariki-Khaya,RU,62.2167,135.8,74.41,61,100,2.51
423,Namatanai,PG,-3.6667,152.4333,84.94,65,100,5.39
424,Agadez,NE,19.75,10.25,86.31,20,2,6.51
425,Odweyne,SO,9.4092,45.064,69.39,64,34,18.75
426,Cap Malheureux,MU,-19.9842,57.6142,65.46,66,0,5.01
427,Mapiripan,CO,2.8892,-72.1256,72.0,96,58,2.35
428,Tezu,IN,27.9167,96.1667,83.3,81,100,3.04
429,Villa Carlos Paz,AR,-31.4241,-64.4978,46.38,48,100,8.99
430,Mount Isa,AU,-20.7333,139.5,76.77,31,0,14.97
431,Muros,ES,42.7762,-9.0603,57.09,94,72,3.94
432,Shahrud,IR,36.4182,54.9763,72.64,21,0,3.36
433,Baixo Guandu,BR,-19.5189,-41.0158,66.18,96,3,3.38
434,Klamath Falls,US,42.2249,-121.7817,65.84,42,0,5.82
435,Bonavista,CA,48.6499,-53.1147,47.1,97,100,5.03
436,Moussoro,TD,13.6408,16.4901,83.84,47,78,13.13
437,Bonthe,SL,7.5264,-12.505,75.88,91,100,2.42
438,Berdigestyakh,RU,62.0989,126.6992,74.52,19,91,8.01
439,Vestmanna,FO,62.1564,-7.1664,47.32,100,100,14.97
440,Svobodnyy,RU,51.4,128.1333,63.72,88,100,7.43
441,Wenling,CN,28.3669,121.36,77.77,89,99,8.84
442,Gizo,SB,-8.103,156.8419,83.71,70,49,1.54
443,Dubbo,AU,-32.25,148.6167,59.13,51,0,6.91
444,San Pedro,PH,14.35,121.0167,88.83,66,75,5.75
445,Garowe,SO,8.4054,48.4845,73.62,65,100,26.33
446,Neiafu,TO,-18.65,-173.9833,83.08,69,20,9.22
447,Bradford,GB,53.7939,-1.7521,56.25,86,0,1.14
448,Jiangyou,CN,31.7667,104.7167,85.32,68,100,3.15
449,Inverell,AU,-29.7833,151.1167,66.67,55,0,5.01
450,Ayagoz,KZ,47.9714,80.4392,83.37,28,2,9.46
451,Okakarara,NA,-20.5833,17.4333,35.56,47,0,4.88
452,Mujiayingzi,CN,42.1167,118.7833,65.52,93,100,4.21
453,Pimentel,PE,-6.8367,-79.9342,62.6,83,92,11.79
454,Codajas,BR,-3.8367,-62.0569,72.16,97,78,2.86
455,Tabuk,PH,17.4189,121.4443,88.02,65,41,6.04
456,Gavle,SE,60.6745,17.1417,59.38,81,100,1.01
457,Prudyanka,UA,50.2361,36.1683,58.32,95,99,8.28
458,Dalby,AU,-27.1833,151.2667,67.12,46,0,9.86
459,Taoudenni,ML,22.6783,-3.9836,94.48,31,1,15.59
460,Tres Arroyos,AR,-38.3739,-60.2798,36.5,73,72,2.1
461,Sao Desiderio,BR,-12.3633,-44.9733,72.28,53,57,6.24
462,San Andres,CO,12.5847,-81.7006,82.42,78,75,11.5
463,Susuman,RU,62.7833,148.1667,60.69,61,95,3.44
464,Yichun,CN,47.7,128.9,81.32,37,100,9.19
465,Shelburne,CA,44.0787,-80.2041,79.59,64,100,12.91
466,Kharhial,IN,20.2833,82.7667,86.16,58,74,6.04
467,Zalantun,CN,48.0,122.7167,85.82,31,10,5.88
468,Kefamenanu,ID,-9.4467,124.4781,82.87,46,9,15.1
469,Gao,ML,16.6362,1.637,92.79,25,49,8.59
470,Tairua,NZ,-37.0167,175.85,56.08,65,64,8.57
471,Vilhena,BR,-12.7406,-60.1458,65.41,61,65,3.31
472,Almaznyy,RU,48.0448,40.045,65.19,83,26,7.47
473,Cochrane,CA,51.1834,-114.4687,70.84,41,0,9.22
474,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,75.49,85,93,10.04
475,Naze,JP,28.3667,129.4833,81.52,79,1,12.64
476,Carberry,CA,49.8689,-99.3602,64.63,94,100,7.56
477,Toppenish,US,46.3774,-120.3087,85.3,33,71,3.49
478,Baripada,IN,21.935,86.7214,87.87,61,86,3.29
479,Pilar,BR,-9.5972,-35.9567,71.53,91,88,1.1
480,Noumea,NC,-22.2763,166.4572,75.0,99,100,9.57
481,Iwaki,JP,37.05,140.8833,78.76,79,100,3.0
482,Camacari,BR,-12.6975,-38.3242,78.57,91,16,4.43
483,Antalaha,MG,-14.9003,50.2788,68.4,90,66,10.6
